Store_Location,State,Store_ID,Territory_Manager,Region,Region_Director
Bangor,Maine,818,Erbayne Middleton,Northeast,Michael Jarvis
Bar Harbor,Maine,819,Erbayne Middleton,Northeast,Michael Jarvis
Kennebunkport,Maine,820,Erbayne Middleton,Northeast,Michael Jarvis
Lewiston,Maine,821,Erbayne Middleton,Northeast,Michael Jarvis
Orono,Maine,822,Erbayne Middleton,Northeast,Michael Jarvis
South Portland,Maine,823,Erbayne Middleton,Northeast,Michael Jarvis
Atlantic City,New Jersey,824,Miami Vue,Northeast,Michael Jarvis
Bayonne,New Jersey,825,Miami Vue,Northeast,Michael Jarvis
Cape May,New Jersey,826,Miami Vue,Northeast,Michael Jarvis
Clifton,New Jersey,827,Miami Vue,Northeast,Michael Jarvis
East Orange,New Jersey,828,Miami Vue,Northeast,Michael Jarvis
Hackensack,New Jersey,829,Miami Vue,Northeast,Michael Jarvis
Hoboken,New Jersey,830,Miami Vue,Northeast,Michael Jarvis
Jersey City,New Jersey,831,Miami Vue,Northeast,Michael Jarvis
Montclair,New Jersey,832,Miami Vue,Northeast,Michael Jarvis
Morristown,New Jersey,833,Miami Vue,Northeast,Michael Jarvis
New Brunswick,New Jersey,834,Miami Vue,Northeast,Michael Jarvis
Newark,New Jersey,835,Miami Vue,Northeast,Michael Jarvis
Passaic,New Jersey,836,Miami Vue,Northeast,Michael Jarvis
Paterson,New Jersey,837,Miami Vue,Northeast,Michael Jarvis
Trenton,New Jersey,838,Miami Vue,Northeast,Michael Jarvis
Vineland,New Jersey,839,Miami Vue,Northeast,Michael Jarvis
