Transaction_Date,Store_ID,RewardsID,Prod_Num,Sale_Amount,Month,Store_Location,State,Territory_Manager,Region,Region_Director,Product,CategoryID,SubcategoryID,Category,cust_id,date,time,name,email,phone,sms_opt_out
2022-01-01,818,,105321-IT,28.88,2022-01,Bangor,Maine,Erbayne Middleton,Northeast,Michael Jarvis,Dell 130W USB-C Charger,120,120-cha,Technology & Accessories,,,,,,,
2022-01-01,821,507.0,105319-IT,30.16,2022-01,Lewiston,Maine,Erbayne Middleton,Northeast,Michael Jarvis,RAVPower 60W 6-Port USB Charger,120,120-cha,Technology & Accessories,507.0,2024-01-16,11:19:45,Plankton,plankton@bikinibottom.net,555-555-3106,N
2022-01-01,822,,105431-M,24.28,2022-01,Orono,Maine,Erbayne Middleton,Northeast,Michael Jarvis,LTCA Year Up Umbrella (Compact),130,130-acc,Apparel and Merchandise,,,,,,,
2022-01-01,822,491.0,105432-S,6.02,2022-01,Orono,Maine,Erbayne Middleton,Northeast,Michael Jarvis,Tesa Masking Tape (2-inch Roll),110,110-adh,Stationery and Supplies,491.0,2023-05-02,13:59:15,Harry Crane,harry@sterlingcooper.com,212-555-2910,N
2022-01-01,823,280.0,105433-M,32.64,2022-01,South Portland,Maine,Erbayne Middleton,Northeast,Michael Jarvis,LTCA Year Up Knit Hat with Pom (Navy and White),130,130-hat,Apparel and Merchandise,280.0,2023-08-09,09:05:15,Cal Abar,cal@keenecounty.police,918-555-2105,Y
2022-01-01,823,104.0,105434-S,2.88,2022-01,South Portland,Maine,Erbayne Middleton,Northeast,Michael Jarvis,Pentel Twist-Erase Mechanical Pencils (0,110,110-pen,Stationery and Supplies,104.0,2023-12-28,06:35:10,Helen M.,helen@lawndale.high,973-555-9309,N
2022-01-01,824,,105337-IT,1301.88,2022-01,Atlantic City,New Jersey,Miami Vue,Northeast,Michael Jarvis,HP Pavilion 14,120,120-lap,Technology & Accessories,,,,,,,
2022-01-01,826,513.0,105435-A,18.0,2022-01,Cape May,New Jersey,Miami Vue,Northeast,Michael Jarvis,Plaster of Paris (5 lbs),115,115-scu,Art Supplies,513.0,2023-04-23,12:50:30,Ferb Fletcher,ferb@danvillekids.com,555-555-3202,N
2022-01-01,826,,105436-S,4.32,2022-01,Cape May,New Jersey,Miami Vue,Northeast,Michael Jarvis,Rhodia DotPad No,110,110-not,Stationery and Supplies,,,,,,,
2022-01-01,827,122.0,105274-IT,296.6,2022-01,Clifton,New Jersey,Miami Vue,Northeast,Michael Jarvis,Visual Studio 2022,120,120-sof,Technology & Accessories,122.0,2023-09-28,14:30:30,Henrietta Pussycat,meow@neighborhood.org,412-555-9507,N
