State,Territory_Manager,Store_ID,Store_Location,Region
Maine,Erbayne Middleton,818,Bangor,Northeast
Maine,Erbayne Middleton,819,Bar Harbor,Northeast
Maine,Erbayne Middleton,820,Kennebunkport,Northeast
Maine,Erbayne Middleton,821,Lewiston,Northeast
Maine,Erbayne Middleton,822,Orono,Northeast
Maine,Erbayne Middleton,823,South Portland,Northeast
New Jersey,Miami Vue,824,Atlantic City,Northeast
New Jersey,Miami Vue,825,Bayonne,Northeast
New Jersey,Miami Vue,826,Cape May,Northeast
New Jersey,Miami Vue,827,Clifton,Northeast
New Jersey,Miami Vue,828,East Orange,Northeast
New Jersey,Miami Vue,829,Hackensack,Northeast
New Jersey,Miami Vue,830,Hoboken,Northeast
New Jersey,Miami Vue,831,Jersey City,Northeast
New Jersey,Miami Vue,832,Montclair,Northeast
New Jersey,Miami Vue,833,Morristown,Northeast
New Jersey,Miami Vue,834,New Brunswick,Northeast
New Jersey,Miami Vue,835,Newark,Northeast
New Jersey,Miami Vue,836,Passaic,Northeast
New Jersey,Miami Vue,837,Paterson,Northeast
New Jersey,Miami Vue,838,Trenton,Northeast
New Jersey,Miami Vue,839,Vineland,Northeast
