State,RewardsID,name,email,Total_Customer_Revenue,Customer_Rank
Maine,421.0,Rosita,rosita@sesamestreet.org,3637.75,1.0
Maine,89.0,Karen Walker,karen@willandgrace.nyc,3362.83,2.0
Maine,345.0,Maddy Perez,maddy@easthighland.high,2706.42,3.0
Maine,9.0,Mike H.,mike@centralperk.coffee,2695.2200000000003,4.0
Maine,208.0,Philip Banks,unclephil@banksresidence.la,2662.84,5.0
Maine,478.0,AJ Soprano,aj@northjersey.net,2574.08,6.0
Maine,99.0,Trent Lane,trent@lawndale.high,2558.21,7.0
Maine,353.0,Laura Palmer,laura@twinpeaks.wa,2488.1899999999996,8.0
Maine,358.0,James Hurley,james@twinpeaks.wa,2482.7799999999997,9.0
Maine,185.0,Nipsey,nipsey@wzhup.det,2112.13,10.0
Maine,66.0,Jeff Winger,jeff@greendale.edu,2101.12,11.0
Maine,6.0,P. Buffay,smellycat@centralperk.coffee,2045.55,12.0
Maine,394.0,Blanche Devereaux,blanche@goldengirls.house,2022.56,13.0
Maine,396.0,Stan Z.,stan@goldengirls.house,1886.82,14.0
Maine,337.0,Sayid Jarrah,sayid@dharma.initiative,1849.72,15.0
Maine,292.0,Beverly Crusher,crusher@enterprise.starfleet,1847.68,16.0
Maine,155.0,Jenny Piccalo,jenny@arnoldsdrivein.diner,1838.0,17.0
Maine,15.0,H. Schrader,hank@lospolloshermanos.biz,1749.52,18.0
Maine,273.0,Lucille Bluth,lucille@bluthcompany.biz,1738.06,19.0
Maine,436.0,Newman,newman@vandelayindustries.com,1622.06,20.0
Maine,50.0,Creed,creed@dundermifflin.com,1612.75,21.0
Maine,111.0,Teddy,teddy@bobsburgers.rest,1588.3600000000001,22.0
Maine,220.0,Izzie Stevens,izzie@seattlegrace.med,1529.64,23.0
Maine,479.0,Dr. Melfi,melfi@northjersey.net,1527.76,24.0
Maine,227.0,Debra Morgan,debra@miamimetro.gov,1517.8,25.0
Maine,453.0,Jesse Pinkman,jesse@lospolloshermanos.biz,1510.69,26.0
Maine,300.0,Julian Bashir,bashir@ds9.starfleet,1509.05,27.0
Maine,279.0,Adrian Veidt,ozymandias@keenecounty.police,1481.55,28.0
Maine,450.0,Aidan Shaw,aidan@manhattan.nyc,1479.6100000000001,29.0
Maine,45.0,Angela M.,angela@dundermifflin.com,1466.65,30.0
Maine,438.0,Estelle C.,estelle@vandelayindustries.com,1461.19,31.0
Maine,359.0,Log Lady,loglady@twinpeaks.wa,1459.8200000000002,32.0
Maine,8.0,Janice,ohmygod@centralperk.coffee,1447.8899999999999,33.0
Maine,270.0,George Michael,gmichael@bluthcompany.biz,1440.0300000000002,34.0
Maine,36.0,Ned Flanders,ned@springfield.power,1394.96,35.0
Maine,207.0,Carlton B.,carlton@banksresidence.la,1386.6000000000001,36.0
Maine,390.0,Dot Com,dotcom@tgs.nbc,1383.23,37.0
Maine,451.0,Smith Jerrod,smith@manhattan.nyc,1363.47,38.0
Maine,427.0,Frasier Crane,frasier@cheers.bar,1357.71,39.0
Maine,497.0,Mrs. Trumbull,trumbull@ricardoproductions.tv,1356.92,40.0
Maine,487.0,Betty Draper,betty@sterlingcooper.com,1334.3,41.0
Maine,184.0,Stan Winters,stan@wzhup.det,1330.1000000000001,42.0
Maine,325.0,Cigarette Smoking Man,csm@fbi.gov,1326.24,43.0
Maine,362.0,Wednesday Addams,wednesday@nevermore.academy,1324.8400000000001,44.0
Maine,352.0,Dale Cooper,coop@twinpeaks.wa,1322.24,45.0
Maine,240.0,Nicky Nichols,nicky@litchfield.pen,1319.5800000000002,46.0
Maine,247.0,Chidi Anagonye,chidi@thegoodplace.afterlife,1310.12,47.0
Maine,285.0,Pirate Jenny,jenny@keenecounty.police,1301.88,48.0
Maine,494.0,Ethel Mertz,ethel@ricardoproductions.tv,1296.79,49.0
Maine,250.0,Michael,michael@thegoodplace.afterlife,1295.34,50.0
Maine,199.0,Gonzo,gonzo@muppetstudios.com,1292.0,51.0
Maine,248.0,Tahani Al-Jamil,tahani@thegoodplace.afterlife,1292.0,51.0
Maine,7.0,Gunther,gunther@centralperk.coffee,1286.04,52.0
Maine,235.0,Lumen Pierce,lumen@miamimetro.gov,1282.12,53.0
Maine,176.0,Martin Payne,martin@wzhup.det,1277.4799999999998,54.0
Maine,31.0,Homer S.,donuts@springfield.power,1275.44,55.0
Maine,508.0,Gary,meow@bikinibottom.net,1273.0900000000001,56.0
Maine,416.0,Grover,grover@sesamestreet.org,1257.12,57.0
Maine,164.0,Dr. Ray Flemming,flemming@lapd.gov,1247.8500000000001,58.0
Maine,477.0,Meadow Soprano,meadow@northjersey.net,1241.0800000000002,59.0
Maine,91.0,Beverley L.,beverley@willandgrace.nyc,1204.6399999999999,60.0
Maine,97.0,Jane Lane,jane@lawndale.high,1194.2,61.0
Maine,128.0,Sonny Corinthos,sonny@generalhospital.med,1194.14,62.0
Maine,486.0,Pete Campbell,pete@sterlingcooper.com,1130.92,63.0
Maine,219.0,Alex Karev,alex@seattlegrace.med,1121.46,64.0
Maine,214.0,Nicky B.,nicky@banksresidence.la,1107.3400000000001,65.0
Maine,466.0,Stringer Bell,stringer@westbaltimore.net,1096.1100000000001,66.0
Maine,144.0,Victoria N.,victoria@genoa.city,1073.8400000000001,67.0
Maine,377.0,Sam Seaborn,sam@westwing.gov,1072.66,68.0
Maine,237.0,Alex Vause,alex@litchfield.pen,1065.12,69.0
Maine,404.0,Roman Roy,romulus@waystarroyco.com,1018.21,70.0
Maine,195.0,Marcus Walker,marcus@oliviapopeandassociates.com,1000.86,71.0
Maine,147.0,Arthur Fonzarelli,fonzie@arnoldsdrivein.diner,995.26,72.0
Maine,365.0,Pugsley A.,pugsley@nevermore.academy,977.16,73.0
Maine,272.0,Tobias Funke,tobias@bluthcompany.biz,967.16,74.0
Maine,34.0,Lisa S.,saxgirl@springfield.power,958.23,75.0
Maine,473.0,Carmela Soprano,carmela@northjersey.net,942.6800000000001,76.0
Maine,463.0,Lester Freamon,lester@westbaltimore.net,909.88,77.0
Maine,117.0,Mr. McFeely,speedydelivery@neighborhood.org,894.9200000000001,78.0
Maine,95.0,Leo Markus,leo@willandgrace.nyc,881.18,79.0
Maine,520.0,Vanessa D.,vanessa@danvillekids.com,855.08,80.0
Maine,16.0,Gus Fring,gus@lospolloshermanos.biz,835.26,81.0
Maine,3.0,Monica Geller,chefmonica@centralperk.coffee,827.45,82.0
Maine,448.0,Steve Brady,steve@manhattan.nyc,797.76,83.0
Maine,242.0,Lorna Morello,lorna@litchfield.pen,774.9,84.0
Maine,320.0,Shepherd Book,book@serenity.ship,740.6700000000001,85.0
Maine,54.0,Lucas S.,lucas@hawkins.ind,739.49,86.0
Maine,354.0,Audrey Horne,audrey@twinpeaks.wa,737.02,87.0
Maine,255.0,Bad Janet,badjanet@thegoodplace.afterlife,724.14,88.0
Maine,157.0,Sergeant Wilson,wilson@lapd.gov,716.5,89.0
Maine,302.0,Buffy Summers,buffy@sunnydale.high,703.9200000000001,90.0
Maine,85.0,Dar Adal,dar@cia.gov,680.17,91.0
Maine,492.0,Lucy Ricardo,lucy@ricardoproductions.tv,676.0,92.0
Maine,322.0,Fox Mulder,mulder@fbi.gov,672.15,93.0
Maine,304.0,Xander Harris,xander@sunnydale.high,665.96,94.0
Maine,142.0,Nick Newman,nick@genoa.city,664.4000000000001,95.0
