Transaction_Date,Store_ID,RewardsID,Prod_Num,Sale_Amount,Year,Month,Store_Location,State,Territory_Manager,Region,Region_Director,Product,CategoryID,SubcategoryID,Category,Subcategory,cust_id,date,time,name,email,phone,sms_opt_out
2024-01-01,726,,105341-IT,1763.7,2024,2024-01,Orlando,Florida,Lana Ilana,South,Andy Gisselquist,MSI Creator Z16,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-27,701,,105341-IT,1763.7,2024,2024-01,Aurora,Colorado,Jim Heck,West,Cassie Chambers,MSI Creator Z16,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-27,736,,105341-IT,1763.7,2024,2024-01,North Harford,Maryland,Shruti Reddy,Northeast,Michael Jarvis,MSI Creator Z16,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-10,823,337.0,105341-IT,1763.7,2024,2024-01,South Portland,Maine,Erbayne Middleton,Northeast,Michael Jarvis,MSI Creator Z16,120,120-lap,Technology & Accessories,Laptops,337.0,2024-01-21,11:35:20,Sayid Jarrah,sayid@dharma.initiative,808-555-1406,N
2024-01-09,872,,105341-IT,1763.7,2024,2024-01,Waterbury,Connecticut,Ellen Lemon,East,Ana Jilani,MSI Creator Z16,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-18,736,,105341-IT,1763.7,2024,2024-01,North Harford,Maryland,Shruti Reddy,Northeast,Michael Jarvis,MSI Creator Z16,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-31,822,,105341-IT,1763.7,2024,2024-01,Orono,Maine,Erbayne Middleton,Northeast,Michael Jarvis,MSI Creator Z16,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-09,731,,105341-IT,1763.7,2024,2024-01,Annapolis,Maryland,Shruti Reddy,Northeast,Michael Jarvis,MSI Creator Z16,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-07,849,,105326-IT,1717.7,2024,2024-01,Brooklyn,New York,See Ellefson,East,Ana Jilani,"Apple MacBook Air (M2, 13-inch)",120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-31,729,,105326-IT,1717.7,2024,2024-01,Tampa,Florida,Lana Ilana,South,Andy Gisselquist,"Apple MacBook Air (M2, 13-inch)",120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-28,838,,105325-IT,1717.7,2024,2024-01,Trenton,New Jersey,Miami Vue,Northeast,Michael Jarvis,"Apple MacBook Pro (M2, 14-inch)",120,120-lap,Technology & Accessories,Laptops,,,,,,,
