RewardsID,name,email,State
507.0,Plankton,plankton@bikinibottom.net,Maine
491.0,Harry Crane,harry@sterlingcooper.com,Maine
280.0,Cal Abar,cal@keenecounty.police,Maine
104.0,Helen M.,helen@lawndale.high,Maine
513.0,Ferb Fletcher,ferb@danvillekids.com,New Jersey
122.0,Henrietta Pussycat,meow@neighborhood.org,New Jersey
515.0,Isabella G.,isabella@danvillekids.com,New Jersey
214.0,Nicky B.,nicky@banksresidence.la,New Jersey
67.0,Britta P.,britta@greendale.edu,New Jersey
284.0,Red Scare,redscare@keenecounty.police,New Jersey
119.0,King Friday,kingfriday@neighborhood.org,Maine
163.0,Commissioner Halperin,halperin@lapd.gov,New Jersey
166.0,Earnest Marks,earn@paperboi.atl,New Jersey
468.0,Omar Little,omar@westbaltimore.net,Maine
85.0,Dar Adal,dar@cia.gov,New Jersey
140.0,Phyllis S.,phyllis@genoa.city,New Jersey
145.0,Adam Newman,adam@genoa.city,Maine
167.0,Alfred Miles,paperboi@paperboi.atl,New Jersey
111.0,Teddy,teddy@bobsburgers.rest,New Jersey
112.0,Jimmy Pesto,jimmy@bobsburgers.rest,Maine
21.0,Jon Snow,knowsnothing@westeros.kingdom,New Jersey
521.0,Linda Flynn-Fletcher,linda@danvillekids.com,New Jersey
57.0,Ron Swanson,ron@pawnee.gov,New Jersey
54.0,Lucas S.,lucas@hawkins.ind,Maine
289.0,Geordi La Forge,geordi@enterprise.starfleet,Maine
517.0,Perry the Platypus,agentp@danvillekids.com,New Jersey
1.0,Rachel,rachel@centralperk.coffee,New Jersey
13.0,Skyler W.,skyler@lospolloshermanos.biz,Maine
51.0,Eleven,eleven@hawkins.ind,Maine
265.0,Beatrice Horseman,beatrice@hollywoo.net,Maine
365.0,Pugsley A.,pugsley@nevermore.academy,New Jersey
475.0,Paulie Gualtieri,paulie@northjersey.net,New Jersey
113.0,Mort,mort@bobsburgers.rest,New Jersey
454.0,Saul Goodman,saul@lospolloshermanos.biz,Maine
12.0,Jesse Pinkman,jesse@lospolloshermanos.biz,New Jersey
220.0,Izzie Stevens,izzie@seattlegrace.med,New Jersey
363.0,Morticia Addams,morticia@nevermore.academy,New Jersey
318.0,Simon Tam,simon@serenity.ship,Maine
56.0,Leslie Knope,leslie@pawnee.gov,New Jersey
465.0,Bunk Moreland,bunk@westbaltimore.net,New Jersey
367.0,Enid Sinclair,enid@nevermore.academy,New Jersey
