RewardsID,name,email,Total_Spend,Number_of_Transactions
245.0,Gloria Mendoza,gloria@litchfield.pen,17534.760000000002,79
74.0,Ben Chang,chang@greendale.edu,17494.39,86
180.0,Cole Brown,cole@wzhup.det,17440.65,93
47.0,Stanley H.,stanley@dundermifflin.com,16532.8,77
375.0,C.J. Cregg,cj@westwing.gov,16520.45,85
280.0,Cal Abar,cal@keenecounty.police,16453.48,83
242.0,Lorna Morello,lorna@litchfield.pen,15984.11,77
409.0,Gerri Kellman,gerri@waystarroyco.com,15959.27,85
99.0,Trent Lane,trent@lawndale.high,15847.67,82
400.0,K. McClanahan,katherine@goldengirls.house,15625.56,76
